date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:40:41	87305/87305	---MCZ	200	added ('OK')	text/html	date:Sat,%2027%20May%202023%2005:47:33%20GMT	https://html.themability.com/soccer/index.html	C:/Users/sfcexam/Desktop/Soccer/html.themability.com/soccer/index.html	(from )
09:40:41	173/173	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2009%20Aug%202023%2005:06:16%20GMT	https://html.themability.com/robots.txt		(from )
09:40:41	51738/51738	---M--	200	added ('OK')	image/png	etag:%22ca1a-5fbcd2f5914b4%22	https://html.themability.com/soccer/assets/images/favicon.png	C:/Users/sfcexam/Desktop/Soccer/html.themability.com/soccer/assets/images/favicon.png	(from https://html.themability.com/soccer/index.html)
09:40:44	163873/163873	---MCZ	200	added ('OK')	text/css	etag:W/%2228021-5fbcd2eb765ec%22	https://html.themability.com/soccer/assets/css/bootstrap.min.css	C:/Users/sfcexam/Desktop/Soccer/html.themability.com/soccer/assets/css/bootstrap.min.css	(from https://html.themability.com/soccer/index.html)
09:40:44	55789/55789	---M-Z	200	added ('OK')	text/css	etag:%22649564fd-e8b%22	https://cdnjs.cloudflare.com/ajax/libs/animate.css/3.3.0/animate.min.css	C:/Users/sfcexam/Desktop/Soccer/cdnjs.cloudflare.com/ajax/libs/animate.css/3.3.0/animate.min.css	(from https://html.themability.com/soccer/index.html)
09:40:45	3037/3037	---MCZ	200	added ('OK')	text/css	etag:W/%22bdd-5fbcd2eab9a61%22	https://html.themability.com/soccer/assets/css/owl.carousel.css	C:/Users/sfcexam/Desktop/Soccer/html.themability.com/soccer/assets/css/owl.carousel.css	(from https://html.themability.com/soccer/index.html)
09:40:45	100782/100782	---M-Z	200	added ('OK')	text/css	etag:%226497b704-4ef8%22	https://cdnjs.cloudflare.com/ajax/libs/font-awesome/6.1.1/css/all.min.css	C:/Users/sfcexam/Desktop/Soccer/cdnjs.cloudflare.com/ajax/libs/font-awesome/6.1.1/css/all.min.css	(from https://html.themability.com/soccer/index.html)
09:40:47	995/995	---MCZ	200	added ('OK')	text/css	etag:W/%223e3-5fbcd2f2de5f9%22	https://html.themability.com/soccer/assets/fonts/themability-font.css	C:/Users/sfcexam/Desktop/Soccer/html.themability.com/soccer/assets/fonts/themability-font.css	(from https://html.themability.com/soccer/index.html)
09:40:47	70066/70066	---MCZ	200	added ('OK')	text/css	etag:W/%22111b2-5fc5675edea16%22	https://html.themability.com/soccer/style.css	C:/Users/sfcexam/Desktop/Soccer/html.themability.com/soccer/style.css	(from https://html.themability.com/soccer/index.html)
09:40:47	7030/7030	---M--	200	added ('OK')	image/png	etag:%221b76-5fbcd2f607b3e%22	https://html.themability.com/soccer/assets/images/logo.png	C:/Users/sfcexam/Desktop/Soccer/html.themability.com/soccer/assets/images/logo.png	(from https://html.themability.com/soccer/index.html)
09:40:48	49718/49718	---MCZ	200	added ('OK')	text/html	date:Tue,%2023%20May%202023%2006:25:58%20GMT	https://html.themability.com/soccer/matches.html	C:/Users/sfcexam/Desktop/Soccer/html.themability.com/soccer/matches.html	(from https://html.themability.com/soccer/index.html)
09:40:49	47617/47617	---MCZ	200	added ('OK')	text/html	date:Tue,%2023%20May%202023%2006:26:02%20GMT	https://html.themability.com/soccer/shop.html	C:/Users/sfcexam/Desktop/Soccer/html.themability.com/soccer/shop.html	(from https://html.themability.com/soccer/index.html)
09:40:49	39047/39047	---MCZ	200	added ('OK')	text/html	date:Tue,%2023%20May%202023%2006:25:54%20GMT	https://html.themability.com/soccer/match-details.html	C:/Users/sfcexam/Desktop/Soccer/html.themability.com/soccer/match-details.html	(from https://html.themability.com/soccer/index.html)
09:40:50	33533/33533	---MCZ	200	added ('OK')	text/html	date:Tue,%2023%20May%202023%2006:26:05%20GMT	https://html.themability.com/soccer/schedule.html	C:/Users/sfcexam/Desktop/Soccer/html.themability.com/soccer/schedule.html	(from https://html.themability.com/soccer/index.html)
09:40:50	41582/41582	---MCZ	200	added ('OK')	text/html	date:Sat,%2027%20May%202023%2005:48:12%20GMT	https://html.themability.com/soccer/blog.html	C:/Users/sfcexam/Desktop/Soccer/html.themability.com/soccer/blog.html	(from https://html.themability.com/soccer/index.html)
